trade_date,FirstTime,return,label
2006-09-25,2006-09-29,0.12962493205290815,1.0
2006-09-26,2006-10-09,0.15076786769049022,1.0
2006-09-27,2006-10-09,0.12311295262114941,1.0
2006-09-28,2006-10-09,0.11663562114916193,1.0
2006-09-29,2006-10-18,0.21560879229439367,1.0
2006-10-09,2006-10-18,0.10528679584242262,1.0
2006-10-10,2006-10-18,0.09405563317667975,1.0
2006-10-11,2006-10-20,0.07850748137481989,1.0
2006-10-12,2006-10-20,0.08498732455326774,1.0
2006-10-13,2006-10-25,0.07964683443056675,1.0
2006-10-16,2006-10-18,0.11210830084912216,1.0
2006-10-17,2006-10-26,0.14440747535682075,1.0
2006-10-18,2006-10-26,0.08599872293492772,1.0
2006-10-19,2006-11-07,0.08263649778652238,1.0
2006-10-20,2006-10-25,0.019005556347057917,1.0
2006-10-23,2006-11-07,0.1261819463205498,1.0
2006-10-24,2006-11-10,0.09527345423389977,1.0
2006-10-25,2006-10-30,0.04206178844115982,1.0
2006-10-26,2006-11-09,0.024961915706764426,1.0
2006-10-27,2006-11-07,0.07360170417303902,1.0
2006-10-30,2006-11-10,0.09923941614003695,1.0
2006-10-31,2006-11-10,0.05363173411953892,1.0
2006-11-01,2006-11-07,0.09618250291256869,1.0
2006-11-02,2006-11-09,0.13728742094167234,1.0
2006-11-03,2006-11-09,0.11635671320567287,1.0
2006-11-06,2006-11-22,0.11635671320567287,1.0
2006-11-07,2006-11-10,0.14124794659852413,1.0
2006-11-08,2006-11-22,0.1730903243098365,1.0
2006-11-09,2006-11-22,0.11337793492915482,1.0
2006-11-10,2006-11-22,0.08178649991349274,1.0
2006-11-13,2006-11-22,0.1373038145722898,1.0
2006-11-14,2006-11-23,0.10408698912635939,1.0
2006-11-15,2006-12-18,0.021010677557447233,1.0
2006-11-22,2006-11-27,0.047569000182781984,1.0
2006-11-23,2006-12-15,0.03805836672779539,1.0
2006-11-24,2006-12-04,0.07041135546528454,1.0
2006-11-27,2006-12-04,0.13503614457831303,1.0
2006-11-28,2006-12-04,0.11356973995271846,1.0
2006-11-29,2006-12-25,0.13120383873547525,1.0
2006-11-30,2006-12-18,0.07070976934722584,1.0
2006-12-01,2006-12-27,0.08948393819944722,1.0
2006-12-04,2006-12-27,0.06868047982551784,1.0
2006-12-05,2006-12-25,0.06249322375696598,1.0
2006-12-06,2006-12-25,0.07998677540224808,1.0
2006-12-07,2006-12-15,0.07557731144086399,1.0
2006-12-08,2006-12-25,0.12156656290056755,1.0
2006-12-11,2006-12-27,0.08445654339021313,1.0
2006-12-12,2006-12-25,0.12095322766008199,1.0
2006-12-13,2006-12-18,0.140767057992762,1.0
2006-12-14,2006-12-27,0.1488799004355943,1.0
2006-12-15,2006-12-27,0.09746518342391308,1.0
2006-12-18,2006-12-27,0.0749189054312569,1.0
2006-12-19,2006-12-27,0.08882008509204264,1.0
2006-12-20,2006-12-25,0.10057269378978528,1.0
2006-12-21,2006-12-27,0.1261791168333224,1.0
2006-12-22,2006-12-28,0.11387631975867274,1.0
2006-12-25,2006-12-27,0.09859384885405831,1.0
2006-12-26,2006-12-29,0.17475006196810705,1.0
2006-12-27,2007-01-09,0.176554792533127,1.0
2006-12-28,2007-01-10,0.1298903956901356,1.0
2006-12-29,2007-01-10,0.10887607258404852,1.0
2007-01-04,2007-01-09,0.10113144293895804,1.0
2007-01-05,2007-01-10,0.13442823478620647,1.0
2007-01-08,2007-01-18,0.00659472422062346,1.0
2007-01-09,2007-01-18,-0.06142514221827633,-1.0
2007-01-10,2007-01-18,-0.09479259165292409,-1.0
2007-01-11,2007-01-23,-0.07879746324775305,-1.0
2007-01-12,2007-01-18,-0.053535604741772436,-1.0
2007-01-15,2007-01-18,-0.10688694890328232,-1.0
2007-01-16,2007-01-18,0.045001890835749236,1.0
2007-01-17,2007-01-23,0.08327071967593347,1.0
2007-01-18,2007-01-23,0.1617559471674317,1.0
2007-01-19,2007-01-23,0.13887314752803404,1.0
2007-01-22,2007-02-05,0.2036391985138004,1.0
2007-01-23,2007-02-05,0.0056242460796140925,1.0
2007-01-24,2007-01-29,-0.0688268936118569,-1.0
2007-01-25,2007-02-02,-0.056227801780470155,-1.0
2007-01-26,2007-01-31,-0.18359953197908008,-1.0
2007-01-29,2007-02-02,-0.20191552401295398,-1.0
2007-01-30,2007-02-05,-0.17583856323556624,-1.0
2007-01-31,2007-02-05,-0.13164799904037905,-1.0
2007-02-01,2007-02-15,-0.02399963429128693,-1.0
2007-02-02,2007-02-07,0.08870678700596257,1.0
2007-02-05,2007-02-15,0.18065028577348796,1.0
2007-02-06,2007-03-05,0.10574746102593968,1.0
2007-02-07,2007-03-14,-0.08958486206304361,0.0
2007-02-08,2007-02-14,-0.0710052572885137,-1.0
2007-02-09,2007-03-05,-0.030620896018618615,-1.0
2007-02-12,2007-02-27,-0.09487000388048117,-1.0
2007-02-13,2007-02-27,-0.11286740096147996,-1.0
2007-02-14,2007-02-27,-0.13539437652445863,-1.0
2007-02-15,2007-02-27,-0.15496892138939677,-1.0
2007-02-16,2007-02-27,-0.07414593990709717,-1.0
2007-02-26,2007-03-08,-0.014842845007336458,-1.0
2007-02-27,2007-03-09,0.0938212748443743,1.0
2007-02-28,2007-03-07,0.08197354284179426,1.0
2007-03-01,2007-03-07,0.1348878647180769,1.0
2007-03-02,2007-03-06,0.043735063161488785,1.0
2007-03-05,2007-03-21,0.1718271344260025,1.0
2007-03-06,2007-03-29,0.07498729836148854,1.0
2007-03-07,2007-03-29,0.09497679668882486,1.0
2007-03-08,2007-04-02,0.08364493956649244,1.0
2007-03-09,2007-03-21,0.05437801932367159,1.0
2007-03-12,2007-03-21,0.09500241994660508,1.0
2007-03-13,2007-03-19,0.13045548325662604,1.0
2007-03-14,2007-03-22,0.16499296719112877,1.0
2007-03-15,2007-03-19,0.16299634781257288,1.0
2007-03-16,2007-04-04,0.21332446980997455,1.0
2007-03-19,2007-04-02,0.10524761102987878,1.0
2007-03-20,2007-04-05,0.13782934131736524,1.0
2007-03-21,2007-04-05,0.088270668079379,1.0
2007-03-22,2007-04-04,0.0837087943424204,1.0
2007-03-23,2007-04-04,0.10558852621167159,1.0
2007-03-26,2007-04-02,0.12620584608689334,1.0
2007-03-27,2007-04-04,0.14934786148903734,1.0
2007-03-28,2007-04-05,0.12142310303485515,1.0
2007-03-29,2007-04-05,0.08991997753755432,1.0
2007-03-30,2007-04-11,0.14334595428411157,1.0
2007-04-02,2007-04-11,0.08951932970748211,1.0
2007-04-03,2007-04-16,0.09145917001338688,1.0
2007-04-04,2007-04-19,0.077953346402305,1.0
2007-04-05,2007-04-11,0.05534874734333739,1.0
2007-04-06,2007-04-16,0.0198159004695333,1.0
2007-04-09,2007-04-19,0.007336757153338258,1.0
2007-04-10,2007-04-18,-0.07715334723483736,-1.0
2007-04-11,2007-04-19,-0.11521856449001622,-1.0
2007-04-12,2007-04-19,-0.10019832607800816,-1.0
2007-04-13,2007-04-18,-0.09416477265592627,-1.0
2007-04-16,2007-04-19,-0.11953815359078246,-1.0
2007-04-17,2007-04-19,-0.09416477265592627,-1.0
2007-04-18,2007-05-09,-0.06629122880033289,-1.0
2007-04-19,2007-05-25,0.06881255371648787,0.0
2007-04-20,2007-05-28,0.033635863955062906,0.0
2007-04-23,2007-05-29,0.024119589141599507,0.0
2007-04-24,2007-04-30,-0.031140197945444315,-1.0
2007-04-25,2007-05-30,-0.06072937658454125,-1.0
2007-04-26,2007-05-10,-0.04615790863480318,-1.0
2007-04-27,2007-05-09,-0.015279765555782698,-1.0
2007-04-30,2007-05-30,0.08215514479530861,1.0
2007-05-08,2007-05-15,0.04656800713971743,1.0
2007-05-09,2007-05-15,0.01902674379393532,1.0
2007-05-10,2007-05-15,0.005117118039120294,1.0
2007-05-11,2007-05-15,0.005117118039120294,1.0
2007-05-14,2007-05-24,0.013330942898487574,1.0
2007-05-15,2007-05-25,0.09531587398261454,1.0
2007-05-16,2007-05-30,0.08626640006573716,1.0
2007-05-17,2007-05-28,0.0984228736957864,1.0
2007-05-18,2007-05-25,0.10634590447374115,1.0
2007-05-21,2007-05-25,0.11397483849030943,1.0
2007-05-23,2007-05-31,0.21877282688093502,1.0
2007-05-24,2007-05-31,0.15973947405681632,1.0
2007-05-25,2007-05-31,0.1467499904542504,1.0
2007-05-28,2007-05-31,0.13861999241754064,1.0
